Player,Game,Won,Declarer Points,Trick Win Rate,Failed Contract,Decision Time (s)
Player 1,1,0,0,6.89,1,1.81
Player 1,2,0,53,6.99,0,1.91
Player 1,3,0,0,7.32,0,1.7
Player 1,4,0,0,7.21,0,1.7
Player 1,5,0,0,7.1,0,1.81
Player 1,6,0,0,7.1,0,1.91
Player 1,7,0,0,7.21,0,1.91
Player 1,8,0,77,7.32,0,2.02
Player 1,9,0,0,6.89,0,1.81
Player 1,10,0,0,7.64,0,1.91
Player 1,11,0,0,7.86,0,1.81
Player 1,12,0,0,6.99,0,1.81
Player 1,13,0,0,7.21,0,1.91
Player 1,14,0,0,6.99,0,2.13
Player 1,15,0,0,6.46,0,1.91
Player 1,16,0,0,7.1,0,1.91
Player 1,17,0,0,7.21,0,1.7
Player 1,18,1,0,6.78,1,1.91
Player 1,19,0,0,6.89,0,1.91
Player 1,20,1,0,6.78,0,1.91
Player 1,21,1,78,6.78,0,1.7
Player 1,22,1,0,7.21,0,1.91
Player 1,23,0,0,6.56,0,1.81
Player 1,24,0,0,6.46,0,1.81
Player 1,25,0,0,6.67,1,1.91
Player 1,26,0,0,6.99,1,1.81
Player 1,27,0,0,7.1,0,1.91
Player 1,28,0,76,7.1,1,1.91
Player 1,29,0,0,6.89,1,2.02
Player 1,30,0,0,7.1,0,1.81
Player 1,31,0,73,6.67,0,2.02
Player 1,32,0,0,6.89,0,1.81
Player 1,33,0,0,7.43,0,2.02
Player 1,34,0,0,6.78,0,1.91
Player 1,35,0,0,6.89,0,1.91
Player 1,36,0,0,7.43,0,1.91
Player 1,37,1,0,6.46,0,1.81
Player 1,38,0,0,6.24,1,1.81
Player 1,39,1,0,6.56,0,1.81
Player 1,40,0,0,6.99,0,1.91
Player 1,41,0,66,7.43,0,1.7
Player 1,42,0,73,6.99,0,1.91
Player 1,43,0,0,6.89,0,1.81
Player 1,44,0,0,7.21,0,2.02
Player 1,45,1,0,6.99,0,1.81
Player 1,46,0,0,6.67,1,2.02
Player 1,47,0,0,6.78,0,2.02
Player 1,48,1,0,7.43,0,1.91
Player 1,49,0,0,6.78,1,2.02
Player 1,50,0,83,6.99,1,1.91
Player 1,51,1,76,7.32,0,1.81
Player 1,52,0,0,7.43,1,1.7
Player 1,53,1,0,7.32,0,1.7
Player 1,54,0,0,7.32,0,1.91
Player 1,55,1,0,6.46,0,1.91
Player 1,56,0,87,6.67,0,2.02
Player 1,57,0,0,6.24,0,2.02
Player 1,58,1,90,7.32,1,2.02
Player 1,59,0,0,6.89,0,1.91
Player 1,60,1,0,6.78,0,1.91
Player 1,61,0,0,7.1,0,1.81
Player 1,62,0,0,7.53,0,2.02
Player 1,63,1,0,7.32,0,1.91
Player 1,64,0,0,6.35,0,1.91
Player 1,65,1,0,6.24,0,1.91
Player 1,66,0,68,6.78,1,2.13
Player 1,67,0,0,7.53,0,2.02
Player 1,68,1,76,6.46,0,1.91
Player 1,69,1,0,6.89,0,1.91
Player 1,70,0,0,7.1,1,1.81
Player 1,71,0,62,6.78,0,2.13
Player 1,72,0,79,7.1,1,1.91
Player 1,73,0,0,7.32,0,2.02
Player 1,74,0,71,6.89,0,1.7
Player 1,75,1,70,7.21,1,1.91
Player 1,76,1,0,6.89,0,2.02
Player 1,77,0,0,7.64,0,1.81
Player 1,78,0,0,6.89,0,1.91
Player 1,79,0,0,7.21,0,2.13
Player 1,80,0,0,6.35,0,2.13
Player 1,81,0,0,6.99,0,2.02
Player 1,82,0,80,6.99,0,1.91
Player 1,83,0,0,7.53,0,1.91
Player 1,84,0,0,7.43,0,1.81
Player 1,85,0,68,7.75,0,1.7
Player 1,86,0,0,7.32,0,1.91
Player 1,87,0,0,7.32,0,1.91
Player 1,88,0,0,6.89,1,1.91
Player 1,89,0,84,6.67,0,1.81
Player 1,90,0,0,6.89,0,2.02
Player 1,91,1,0,6.56,0,1.91
Player 1,92,0,79,7.43,0,1.81
Player 1,93,0,0,7.32,0,1.81
Player 1,94,0,59,7.32,0,1.7
Player 1,95,0,82,6.89,0,1.91
Player 1,96,0,78,7.43,0,1.81
Player 1,97,0,0,7.32,0,1.91
Player 1,98,0,0,7.1,1,1.91
Player 1,99,0,0,6.89,0,2.02
Player 1,100,0,0,6.46,0,1.91
Player 1,101,0,75,6.67,0,1.91
Player 1,102,0,0,6.56,0,1.91
Player 1,103,0,0,7.1,0,1.91
Player 1,104,1,0,6.89,0,1.91
Player 1,105,0,0,7.1,0,2.02
Player 1,106,1,0,6.89,0,1.91
Player 1,107,0,70,7.1,0,1.81
Player 1,108,1,74,7.53,0,2.02
Player 1,109,1,0,7.32,0,1.81
Player 1,110,1,0,6.24,0,1.91
Player 1,111,0,0,6.67,0,2.02
Player 1,112,0,0,7.21,0,2.02
Player 1,113,0,0,6.89,1,2.02
Player 1,114,1,0,6.99,1,2.02
Player 1,115,0,0,7.1,1,1.91
Player 1,116,1,0,6.46,0,1.91
Player 1,117,1,0,6.67,0,1.81
Player 1,118,0,0,7.21,0,1.91
Player 1,119,0,0,6.56,0,1.91
Player 1,120,0,65,7.75,0,1.7
Player 2,1,0,0,8.63,0,2.69
Player 2,2,0,0,8.52,0,2.69
Player 2,3,1,0,7.99,0,2.6
Player 2,4,0,0,8.2,0,2.79
Player 2,5,0,0,8.73,0,2.69
Player 2,6,0,0,8.31,0,2.69
Player 2,7,0,0,7.88,1,2.69
Player 2,8,1,0,8.31,0,2.6
Player 2,9,0,52,8.52,0,2.79
Player 2,10,0,0,8.63,0,2.69
Player 2,11,0,0,8.84,0,2.79
Player 2,12,0,40,8.84,0,2.79
Player 2,13,1,0,8.52,0,2.79
Player 2,14,0,54,7.99,0,2.79
Player 2,15,0,65,8.73,0,2.6
Player 2,16,0,59,8.95,0,2.79
Player 2,17,0,0,7.78,0,2.5
Player 2,18,1,52,8.84,0,2.5
Player 2,19,1,61,8.73,0,2.6
Player 2,20,0,45,7.88,0,2.69
Player 2,21,0,69,8.31,0,2.79
Player 2,22,0,0,9.16,0,2.4
